,,page,paragraph,positions,text_snippet
"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","San Gallo, Aristotile (Bastiano) da",3,1.0,"(272, 289)","Perugino, when he"
"Ghirlandajo, Ridolfo","Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)",3,1.0,"(533, 816)","his manner, beside that of Buonarroti, was dry, petty, and by no means worthy to be imitated. And since, among those who used to go to paint that cartoon, which was for a time the school of all who wished to attend to painting, the most able of all was held to be Ridolfo Ghirlandajo"
"Buonarroti, Michelagnolo","Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)",3,1.0,"(533, 570)","his manner, beside that of Buonarroti"
"Ghirlandajo, Ridolfo","San Gallo, Aristotile (Bastiano) da",3,1.0,"(833, 843)",him as his
"Buonarroti, Michelagnolo","San Gallo, Aristotile (Bastiano) da",3,1.0,"(1435, 1501)",Buonarroti to depict certain difficult postures; in doing which he
"Buonarroti, Michelagnolo","Ghirlandajo, Ridolfo",3,1.0,"(560, 816)","Buonarroti, was dry, petty, and by no means worthy to be imitated. And since, among those who used to go to paint that cartoon, which was for a time the school of all who wished to attend to painting, the most able of all was held to be Ridolfo Ghirlandajo"
"San Gallo, Aristotile (Bastiano) da","Sanzio, Raffaello (Raffaello da Urbino)",5,5.0,"(464, 507)",Aristotile copied from that which Raffaello
"San Gallo, Aristotile (Bastiano) da","Sarto, Andrea del (Andrea d' Agnolo)",6,6.0,"(509, 540)",Andrea del Sarto and Aristotile
"San Gallo, Antonio da (the younger)","San Gallo, Aristotile (Bastiano) da",13,13.0,"(653, 664)",he gave him
"San Gallo, Aristotile (Bastiano) da","Vaga, Perino del (Perino Buonaccorsi, or de' Ceri)",14,14.0,"(1120, 1135)",he had been his
Jacone (Jacopo),"San Gallo, Aristotile (Bastiano) da",16,17.0,"(54, 302)","his friends, two painters of whom I shall make brief mention here, because they were such that they deserve to have a place among these rare intellects, on account of some works executed by them that were truly worthy to be extolled. One was Jacone"
Jacone (Jacopo),Piloto,18,20.0,"(593, 621)","Jacone, the goldsmith Piloto"
"Sarto, Andrea del (Andrea d' Agnolo)","Ubertini, Francesco (Francesco d' Albertino, or Il Bacchiacca)",19,23.0,"(245, 277)",him in matters of art. Francesco
"Boccaccino, Boccaccio","Garofalo, Benvenuto (Benvenuto Tisi)",24,26.0,"(1105, 1279)","himself by means of some friends under Boccaccino, who was at that time executing in the same church, likewise in fresco, some stories of the Madonna, as has been said in his"
"Costa, Lorenzo","Garofalo, Benvenuto (Benvenuto Tisi)",25,27.0,"(476, 510)",himself was working. But Benvenuto
"Garofalo, Benvenuto (Benvenuto Tisi)","Sanzio, Raffaello (Raffaello da Urbino)",26,29.0,"(155, 168)","Raffaello, he"
"Carpi, Girolamo da (Girolamo da Ferrara)","Garofalo, Benvenuto (Benvenuto Tisi)",30,38.0,"(324, 337)","Benvenuto, he"
"Carpi, Girolamo da (Girolamo da Ferrara)","Correggio, Antonio da",30,38.0,"(1911, 1930)","Correggio, Girolamo"
"Correggio, Antonio da","Garofalo, Benvenuto (Benvenuto Tisi)",30,38.0,"(324, 987)","Benvenuto, he began to think that he should be removed by his father from those base labours; but Tommaso, as one who had need of money, would do nothing of the kind, and Girolamo resolved at all costs to leave him. And so he went to Bologna, where he received no little favour from the gentlemen of that city; wherefore, having made some portraits, which were passing good likenesses, he acquired so much credit that he earned much money and assisted his father more while living at Bologna than he had done when staying in Ferrara. At that time there was brought to the house of the noble Counts Ercolani at Bologna a picture by the hand of Antonio da Correggio"
"Carpi, Girolamo da (Girolamo da Ferrara)","Dossi, Dosso",33,43.0,"(663, 737)",he would deserve praise and the name of an excellent painter; and Girolamo
"Carpi, Girolamo da (Girolamo da Ferrara)","Vecelli, Tiziano (Tiziano da Cadore)",33,43.0,"(729, 758)","Girolamo, by means of Tiziano"
"Dossi, Dosso","Vecelli, Tiziano (Tiziano da Cadore)",33,43.0,"(663, 758)","he would deserve praise and the name of an excellent painter; and Girolamo, by means of Tiziano"
"Mazzuoli, Francesco (Parmigiano)|Mazzuoli, Girolamo","Romano, Giulio (Giulio Pippi de' Giannuzzi)",39,54.0,"(450, 478)","his death, and Giulio Romano"
"Romano, Giulio (Giulio Pippi de' Giannuzzi)",Vitruvius,40,56.0,"(783, 1061)","himself. The same Giovan Battista has caused Domenico Brusciasorzi to execute after his design for S. Barbara, the church of the Duke's Castle, an altar-piece in oils truly worthy to be praised, in which is the Martyrdom of that Saint. And, in addition, having studied Vitruvius"
