,,page,paragraph,positions,text_snippet
Tribolo (Niccolï¿½),"Unghero, Nanni",4,2.0,"(1416, 1442)",he could remain with Nanni
"Sarto, Andrea del (Andrea d' Agnolo)","Unghero, Nanni",4,2.0,"(1518, 1593)","Andrea del Sarto or Jacopo Sansovino, whom he had come to know in Unghero's"
"Sarto, Andrea del (Andrea d' Agnolo)",Tribolo (Niccolï¿½),4,2.0,"(1509, 1534)",him with Andrea del Sarto
"Sansovino, Jacopo (Jacopo Tatti)",Tribolo (Niccolï¿½),5,3.0,"(699, 709)",him in his
"Contucci, Andrea (Andrea Sansovino)",Tribolo (Niccolï¿½),9,8.0,"(107, 143)","Andrea del Sarto, his dearest friend"
"Buonarroti, Michelagnolo",Tribolo (Niccolï¿½),32,38.0,"(649, 672)",him to Florence. But he
Tribolo (Niccolï¿½),"Vasari, Giorgio",11,11.0,"(225, 329)","Giorgio Vasari, who was always his friend and loved him from his heart, and helped him all that he could"
"Buonarroti, Michelagnolo","Vasari, Giorgio",99,128.0,"(773, 831)",Giorgio might show them in Rome to Michelagnolo Buonarroti
"Bandinelli, Baccio (Baccio de' Brandini)",Tribolo (Niccolï¿½),27,33.0,"(1321, 1349)","Tribolo, was allotted to him"
"San Gallo, Aristotile (Bastiano) da",Tribolo (Niccolï¿½),29,36.0,"(23, 100)","Tribolo, likewise, for the comedy that was performed, Aristotile da San Gallo"
"Tasso, Battista del",Tribolo (Niccolï¿½),31,37.0,"(589, 606)",Tribolo and Tasso
Donato (Donatello),"Tasso, Battista del",30,37.0,"(22, 1017)","himself to the place, brought it about that the temple, which in itself is ancient and very beautiful, had the appearance of a new temple designed very well in the modern manner, with seats all round it richly adorned with pictures and gilding. In the centre, beneath the lantern, he made a great vase of carved woodwork with eight sides, the base of which rested on four steps, and at the corners of the eight sides were some large caulicoles, which, springing from the ground, where there were some lions' paws, had at the top of them certain children of large size in various attitudes, who were holding with their hands the lip of the vase, and supporting with their shoulders some festoons which hung like a garland right round the space in the middle. Besides this, Tribolo had made in the middle of the vase a pedestal of wood with beautiful things of fancy round it, upon which, to crown the work, he placed the S. John the Baptist of marble, three braccia high, by the hand of Donatello"
Donato (Donatello),Tribolo (Niccolï¿½),30,37.0,"(928, 1017)","he placed the S. John the Baptist of marble, three braccia high, by the hand of Donatello"
"Pontormo, Jacopo da (Jacopo Carrucci)",Tribolo (Niccolï¿½),31,37.0,"(132, 147)","Tribolo, but he"
