,,page,paragraph,positions,text_snippet
"Fiesole, Andrea da (Andrea Ferrucci)","Marchissi, Antonio di Giorgio",4,2.0,"(774, 798)","him to the grave, Andrea"
"Buonarroti, Michelagnolo","Cosini, Silvio (Silvio da Fiesole)",6,6.0,"(675, 693)","Silvio, caused him"
"San Gimignano, Vincenzio da (Vincenzio Tamagni)","Urbino, Timoteo da (Timoteo della Vite)",11,11.0,"(108, 168)","Vincenzio da San Gimignano of Tuscany, and Timoteo da Urbino"
"San Gimignano, Vincenzio da (Vincenzio Tamagni)","Sanzio, Raffaello (Raffaello da Urbino)",11,12.0,"(151, 184)",he was much extolled by Raffaello
"Sanzio, Raffaello (Raffaello da Urbino)","Urbino, Timoteo da (Timoteo della Vite)",14,16.0,"(545, 555)",his master
"Contucci, Andrea (Andrea Sansovino)","Urbino, Bramante da",26,30.0,"(222, 252)","Bramante, ordained that Andrea"
"Montelupo, Baccio da","Montelupo, Raffaello da",43,53.0,"(113, 123)",his father
"Contucci, Andrea (Andrea Sansovino)","Montelupo, Baccio da",43,53.0,"(139, 478)","him by a great measure. This Raffaello, beginning in his youth to work in clay, in wax, and in bronze, acquired the name of an excellent sculptor, and was therefore taken by Antonio da San Gallo to Loreto, together with many others, in order to finish the ornamentation of that Chamber, according to the directions left by Andrea Sansovino"
"Contucci, Andrea (Andrea Sansovino)","Montelupo, Raffaello da",43,53.0,"(462, 495)",Andrea Sansovino; where Raffaello
"Buonarroti, Michelagnolo","Montelupo, Raffaello da",43,54.0,"(0, 44)","He had finished this work, when Michelagnolo"
"Credi, Lorenzo di","Credi, Maestro",49,60.0,"(648, 688)","Credi, that from that day onward Lorenzo"
"Credi, Lorenzo di","Vinci, Leonardo da",49,61.0,"(385, 397)","Leonardo, he"
"Credi, Lorenzo di","Verrocchio, Andrea",50,62.0,"(477, 487)",his master
"Lunetti, Tommaso di Stefano","Sogliani, Giovanni Antonio",51,67.0,"(214, 245)",Tommaso di Stefano. Of Sogliani
"Lotti, Lorenzetto (Lorenzo)","Sanzio, Raffaello (Raffaello da Urbino)",56,70.0,"(236, 249)","Raffaello, he"
"Peruzzi, Baldassarre (Baldassarre da Siena)","San Gallo, Antonio da (the younger)",72,100.0,"(408, 422)",Baldassarre he
"Romano, Giulio (Giulio Pippi de' Giannuzzi)","Sanzio, Raffaello (Raffaello da Urbino)",108,156.0,"(1197, 1247)","the painter Giulio Romano, a disciple of Raffaello"
"Modena, Pellegrino da (Pellegrino degli Aretusi, or de' Munari)","Sanzio, Raffaello (Raffaello da Urbino)",80,111.0,"(952, 978)","he succeed, that Raffaello"
"Barile, Gian (of Florence)","Sarto, Andrea del (Andrea d' Agnolo)",86,116.0,"(263, 276)",him under his
"Cosimo, Piero di","Sarto, Andrea del (Andrea d' Agnolo)",86,116.0,"(981, 998)",Andrea with Piero
"Barile, Gian (of Florence)","Cosimo, Piero di",86,116.0,"(971, 998)",he placed Andrea with Piero
Franciabigio (Francia),"Sarto, Andrea del (Andrea d' Agnolo)",86,117.0,"(542, 562)",his companion Andrea
"Contucci, Andrea (Andrea Sansovino)|Sarto, Andrea del (Andrea d' Agnolo)","Sansovino, Jacopo (Jacopo Tatti)",88,120.0,"(611, 670)",Andrea and as will be related in the proper place of Jacopo
"Contucci, Andrea (Andrea Sansovino)|Sarto, Andrea del (Andrea d' Agnolo)","Rosselli, Cosimo",88,121.0,"(1113, 1243)","he was working at it. The friar, then, being very eager to see the rest finished, thought of serving his own ends by making Andrea"
"Sansovino, Jacopo (Jacopo Tatti)","Sarto, Andrea del (Andrea d' Agnolo)",92,127.0,"(778, 834)","him and making a sign, is Andrea, the master of the work"
"Pontormo, Jacopo da (Jacopo Carrucci)","Sarto, Andrea del (Andrea d' Agnolo)",104,148.0,"(592, 617)","Jacopo, subjected himself"
"Sanzio, Raffaello (Raffaello da Urbino)","Sarto, Andrea del (Andrea d' Agnolo)",108,156.0,"(476, 493)",Raffaello. Andrea
"Romano, Giulio (Giulio Pippi de' Giannuzzi)","Sarto, Andrea del (Andrea d' Agnolo)",108,156.0,"(1542, 1604)","Andrea at work on that picture, revealed the truth. For Giulio"
"Salviati, Francesco (Francesco de' Rossi)","Sarto, Andrea del (Andrea d' Agnolo)",119,176.0,"(91, 156)","the aforesaid Salviati, although he did not stay long with Andrea"
"Conti, Domenico","Sarto, Andrea del (Andrea d' Agnolo)",119,177.0,"(403, 413)",his master
"Lombardi, Alfonso","Vecelli, Tiziano (Tiziano da Cadore)",133,195.0,"(497, 524)","Tiziano, who loved him much"
"Peruzzi, Baldassarre (Baldassarre da Siena)","Siena, Michelagnolo da",136,199.0,"(514, 566)","the sculptor Michelagnolo, his friend and compatriot"
"Nola, Giovanni da","Santa Croce, Girolamo",137,200.0,"(1344, 1353)",his rival
"Dossi, Battista","Dossi, Dosso",140,205.0,"(621, 639)",Dosso and Battista
"Licinio, Giovanni Antonio (Cuticello, or Pordenone)","Vaga, Perino del (Perino Buonaccorsi, or de' Ceri)",153,226.0,"(826, 854)",Perino and that of Pordenone
"Sogliani, Giovanni Antonio","Vaga, Perino del (Perino Buonaccorsi, or de' Ceri)",162,236.0,"(509, 557)","Perino being recalled to Genoa, Giovanni Antonio"
"Sarto, Andrea del (Andrea d' Agnolo)","Sogliani, Giovanni Antonio",164,238.0,"(76, 95)",Andrea del Sarto he
"Caravaggio, Polidoro da (Polidoro Caldara)",Maturino,176,248.0,"(93, 114)",Maturino for Polidoro
"Rosso, Il (Giovan Battista de' Rossi)","Sanzio, Raffaello (Raffaello da Urbino)",194,270.0,"(386, 399)","Raffaello, he"
"Bagnacavallo, Bartolommeo da (Bartolommeo Ramenghi)","Sanzio, Raffaello (Raffaello da Urbino)",208,290.0,"(1182, 1699)","himself with Biagio Bolognese, a person with much more practice than excellence in art; and they executed in company at S. Salvatore, for the Frati Scopetini, a refectory which they painted partly in fresco and partly ""a secco,"" containing the scene of Christ satisfying five thousand people with five loaves and two fishes. They painted, also, on a wall of the library, the Disputation of S. Augustine, wherein they made a passing good view in perspective. These masters, thanks to having seen the works of Raffaello"
"Bolognese, Biagio (Biagio Pupini)","Cotignola, Girolamo da (Girolamo Marchesi)",211,298.0,"(885, 910)",Biagio. The same Girolamo
Franciabigio (Francia),"Pontormo, Jacopo da (Jacopo Carrucci)",221,311.0,"(719, 937)","Jacopo da Pontormo, and Franciabigio, that they might demonstrate the power and perfection of their art in the work, each receiving thirty crowns every month from the magnificent Ottaviano de' Medici. Thereupon Francia"
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)","Feltro, Morto da",228,320.0,"(137, 151)",Morto into his
"Feltro, Morto da","Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)",229,323.0,"(178, 267)","his example that they have been brought in our own day, by the hands of Giovanni da Udine"
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)",Franciabigio (Francia),232,328.0,"(232, 257)",He went with Franciabigio
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)",Tribolo (Niccolï¿½),233,329.0,"(167, 209)","him as my companion, together with Tribolo"
"Mazzuoli, Francesco (Parmigiano)","Sanzio, Raffaello (Raffaello da Urbino)",247,343.0,"(466, 492)","his ways, as was Raffaello"
