,,page,paragraph,positions,text_snippet
"Giocondo, Fra","Urbino, Bramante da",6,9.0,"(46, 58)","Bramante, he"
"Sanzio, Raffaello (Raffaello da Urbino)","Urbino, Bramante da",6,9.0,"(46, 106)","Bramante, he was placed, in company with Raffaello da Urbino"
"San Gallo, Giuliano da","Urbino, Bramante da",6,9.0,"(46, 132)","Bramante, he was placed, in company with Raffaello da Urbino and Giuliano da San Gallo"
"Giocondo, Fra","Sanzio, Raffaello (Raffaello da Urbino)",6,9.0,"(417, 440)","Fra Giocondo, Raffaello"
"Giocondo, Fra","San Gallo, Giuliano da",6,9.0,"(417, 454)","Fra Giocondo, Raffaello, and Giuliano"
"San Gallo, Giuliano da","Sanzio, Raffaello (Raffaello da Urbino)",6,9.0,"(431, 454)","Raffaello, and Giuliano"
"Bellini, Jacopo",Liberale,11,17.0,"(931, 958)",his attention under Bellini
"Caroto, Giovan Francesco",Liberale,15,27.0,"(700, 710)",his master
"Caroto, Giovan Francesco","Mantegna, Andrea",15,27.0,"(820, 839)",himself to Mantegna
Liberale,"Mantegna, Andrea",15,27.0,"(796, 839)","Liberale, to apprentice himself to Mantegna"
"Caliari, Paolo (Paolo Veronese)","Caroto, Giovanni",22,40.0,"(163, 225)","his disciples, particularly Anselmo Canneri and Paolo Veronese"
"Canneri, Anselmo","Caroto, Giovanni",22,40.0,"(163, 206)","his disciples, particularly Anselmo Canneri"
"Caliari, Paolo (Paolo Veronese)","Canneri, Anselmo",22,40.0,"(191, 225)",Anselmo Canneri and Paolo Veronese
Liberale,"Turbido, Francesco (Il Moro)",23,42.0,"(943, 955)","Liberale, he"
Liberale,"Romano, Giulio (Giulio Pippi de' Giannuzzi)",24,43.0,"(141, 966)","his steps and executed many works, which are dispersed among various private houses. Of those in Verona which deserve to be extolled above all others, the first is the great chapel of the Duomo, on the vaulting of which are four large pictures painted in fresco, wherein are the Nativity of the Madonna and the Presentation in the Temple, and, in the picture in the centre, which appears to recede inwards, three Angels in the air, who are seen foreshortened from below, and are holding a crown of stars wherewith to crown the Madonna, who is in the recess, in the act of ascending into Heaven, accompanied by many Angels, while the Apostles are gazing upwards in attitudes of great variety; and these Apostles are figures twice the size of life. All these pictures were executed by Il Moro after the designs of Giulio Romano"
"Morone, Domenico","Morone, Francesco",36,67.0,"(242, 252)",his father
"Libri, Francesco dai (the younger)","Libri, Girolamo dai",52,96.0,"(325, 332)",his son
"Buonarroti, Michelagnolo","Granacci, Francesco (Il Granaccio)",59,108.0,"(391, 411)","his Palace, Granacci"
"Buonarroti, Michelagnolo","Ghirlandajo, Domenico",57,102.0,"(671, 805)","he knew of art at that time, than with Granacci. Then, after they had been companions together in the workshop of Domenico Ghirlandajo"
"Ghirlandajo, Domenico","Granacci, Francesco (Il Granaccio)",57,102.0,"(846, 889)",he was held to be the best of Ghirlandajo's
"Agnolo, Baccio d' (Baccio Baglioni)","Brunelleschi, Filippo (Filippo di Ser Brunellesco)",68,118.0,"(74, 195)",Baccio gave the design for constructing the gallery that encircles the cupola. This part of the work Filippo Brunelleschi
"Agnolo, Baccio d' (Baccio Baglioni)","Buonarroti, Michelagnolo",68,118.0,"(819, 834)",him that Baccio
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)","Buonarroti, Michelagnolo",68,118.0,"(575, 701)","his return from Rome, perceiving that in carrying out this work they were cutting away the toothings that Filippo Brunelleschi"
"Agnolo, Baccio d' (Baccio Baglioni)|Bandinelli, Baccio (Baccio de' Brandini)","Agnolo, Giuliano di Baccio d'",69,120.0,"(13, 25)",his father's
