,,page,paragraph,positions,text_snippet
"Ciuffagni, Bernardo","Filarete, Antonio",7,7.0,"(982, 1014)","Filarete, and Bernardo Ciuffagni"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)","Maiano, Giuliano da",12,10.0,"(212, 292)","himself to tarsia, to sculpture, and to architecture, Filippo di Ser Brunellesco"
"Maiano, Benedetto da","Maiano, Giuliano da",14,14.0,"(171, 189)",his uncle Giuliano
"Donzello, Polito del","Maiano, Benedetto da",14,14.0,"(817, 837)",Polito and Benedetto
"Donzello, Polito del","Maiano, Giuliano da",14,14.0,"(887, 911)",Polito followed Giuliano
"Angelo, Lorentino d'","Francesca, Piero della (Piero Borghese, or Piero dal Borgo a San Sepolcro)",22,24.0,"(204, 256)","Piero wrought in the Madonna delle Grazie, Lorentino"
"Francesca, Piero della (Piero Borghese, or Piero dal Borgo a San Sepolcro)","Vasari, Lazzaro (the elder)",51,58.0,"(447, 488)",he was persuaded by Piero della Francesca
"Vasari, Giorgio|Vasari, Giorgio (son of Lazzaro Vasari, the elder)","Vasari, Lazzaro (the elder)",54,61.0,"(204, 254)","he left a son called Giorgio, who occupied himself"
"Eyck, Jan van (Johann of Bruges)","Messina, Antonello da",62,68.0,"(1018, 1035)",he should see his
"Messina, Antonello da","Viniziano, Domenico (Domenico da Venezia)",63,69.0,"(296, 362)","Antonello, who would not be beaten in courtesy by Maestro Domenico"
Donato (Donatello),"Padova, Vellano da",73,83.0,"(1163, 1172)",his pupil
"Diamante, Fra","Lippi, Filippo (Filippino)|Lippi, Fra Filippo",87,96.0,"(420, 465)","himself, giving but a little share to the boy"
"Lippi, Filippo (Filippino)","Lippi, Filippo (Filippino)|Lippi, Fra Filippo",87,98.0,"(690, 750)","him in the best way that he could, he sent his son Filippino"
"Mino, Maestro (Mino del Regno, or del Reame)","Romano, Paolo",91,101.0,"(1103, 1119)",he was; and Mino
"Camicia, Chimenti","Cellini, Baccio",92,104.0,"(465, 503)",he sent to Baccio (who remained there)
"Camicia, Chimenti","Linaiuolo, Berto",92,104.0,"(465, 578)","he sent to Baccio (who remained there), as presents for the King, certain pictures by the hand of Berto Linaiuolo"
"Cellini, Baccio","Linaiuolo, Berto",92,104.0,"(476, 578)","Baccio (who remained there), as presents for the King, certain pictures by the hand of Berto Linaiuolo"
"Castagno, Andrea dal (Andrea degli Impiccati)","Viniziano, Domenico (Domenico da Venezia)",103,116.0,"(818, 836)",his rival Domenico
"Castagno, Andrea dal (Andrea degli Impiccati)",Pesello,117,130.0,"(853, 880)",Andrea dal Castagno; and he
Donato (Donatello),Pesello,117,130.0,"(1669, 1679)","Donato, he"
"Castagno, Andrea dal (Andrea degli Impiccati)",Donato (Donatello),117,130.0,"(1191, 1589)","him, and became a very good master. Wherefore, having given good proof of his knowledge, he was commissioned by the Signoria of Florence to paint a panel in distemper of the Magi bringing offerings to Christ, which was placed half-way up the staircase of their Palace, and acquired great fame for Pesello, above all because he had made certain portraits therein, including that of Donato Acciaiuoli"
