,,page,paragraph,positions,text_snippet
"Gaddi, Taddeo",Giotto,23,12.0,"(402, 419)",Giotto and Taddeo
"Casentino, Jacopo di",Giotto,23,12.0,"(402, 737)","Giotto and Taddeo and the other painters. Among these was one Jacopo di Casentino, who, being born, as it is read, of the family of Messer Cristoforo Landino of Pratovecchio, was apprenticed by a friar of the Casentino, then Prior at the Sasso della Vernia, to Taddeo Gaddi, while Taddeo was working in that convent, to the end that he"
"Casentino, Jacopo di","Gaddi, Taddeo",23,12.0,"(941, 964)","Taddeo their master, he"
"Aretino, Spinello","Casentino, Jacopo di",29,19.0,"(507, 521)","him, before he"
"Casentino, Jacopo di","Daddi, Bernardo",25,15.0,"(475, 642)","he showed to Spinello Aretino the principles of that art which was taught to him by Agnolo, and which Spinello taught afterwards to Bernardo Daddi, who, working in his"
"Aretino, Spinello","Daddi, Bernardo",25,15.0,"(577, 642)","Spinello taught afterwards to Bernardo Daddi, who, working in his"
"Aretino, Spinello",Giotto,35,26.0,"(949, 975)",himself the peer of Giotto
"Starnina, Gherardo","Viniziano, Antonio",43,34.0,"(381, 401)",his leave of Antonio
"Bicci, Lorenzo di","Montepulciano, Marco da",72,58.0,"(194, 286)",his hand in verses and words that are no less rude than the pictures. Having returned to his
Cristofano,Simone,104,82.0,"(432, 539)","Simone, painters of Bologna, and one Cristofano—I know not whether of Ferrara, or, as others say, of Modena"
"Avanzi, Jacopo (Jacopo Davanzo)",Cristofano,104,82.0,"(421, 539)","Jacopo and Simone, painters of Bologna, and one Cristofano—I know not whether of Ferrara, or, as others say, of Modena"
Cristofano,"Galassi, Galasso (Galasso Ferrarese)",104,82.0,"(648, 877)","Cristofano painted scenes on one side, from the Creation of Adam by God up to the death of Moses, Simone and Jacopo painted thirty scenes, from the Birth of Christ up to the Last Supper that He held with the Apostles, and Galasso"
"Avanzi, Jacopo (Jacopo Davanzo)",Simone,104,82.0,"(421, 438)",Jacopo and Simone
"Galassi, Galasso (Galasso Ferrarese)",Simone,104,82.0,"(746, 877)","Simone and Jacopo painted thirty scenes, from the Birth of Christ up to the Last Supper that He held with the Apostles, and Galasso"
"Avanzi, Jacopo (Jacopo Davanzo)","Galassi, Galasso (Galasso Ferrarese)",104,82.0,"(757, 877)","Jacopo painted thirty scenes, from the Birth of Christ up to the Last Supper that He held with the Apostles, and Galasso"
"Banco, Nanni d' Antonio di",Donato (Donatello),113,89.0,"(534, 544)",his master
Giotto,"Robbia, Luca della",120,93.0,"(569, 699)","Giotto, to go with that wherein are the Sciences and Arts, formerly made, as it has been said, by Andrea Pisano. In the first Luca"
Donato (Donatello),"Robbia, Luca della",121,93.0,"(6, 55)",his with much more judgment and mastery than Luca
"Robbia, Agostino della","Robbia, Luca della",125,101.0,"(35, 48)","Agostino, his"
"Robbia, Girolamo della","Robbia, Luca della|Robbia, Luca della (the younger)",127,103.0,"(786, 797)",his brother
Donato (Donatello),"Uccello, Paolo",140,116.0,"(56, 72)",Donato saw Paolo
"Ghiberti, Bartoluccio","Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",144,119.0,"(257, 267)",his father
Donato (Donatello),"Ghiberti, Bartoluccio",146,123.0,"(837, 1857)","his father Bartoluccio, he polished it with such love and patience that nothing could be executed or finished better. And when the time came for comparing the various works, his and those of the other masters were completely finished, and were given to the Guild of Merchants for judgment; but after all had been seen by the Consuls and by many other citizens, diverse opinions were expressed about them. Many foreigners had assembled in Florence, some painters, some sculptors, and others goldsmiths; and they were invited by the Consuls to give judgment on these works, together with the other men of that profession who lived in Florence. They numbered thirty-four in all, each well experienced in his own art. Now, although there were differences of opinion among them, some liking the manner of one man and some that of another, nevertheless they were agreed that Filippo di Ser Brunellesco and Lorenzo di Bartoluccio had composed and completed their scenes better and with a richer abundance of figures than Donato"
