page,paragraph_id,text
3,1,"Having written hitherto of the lives and works of the most excellent painters, sculptors, and architects, from Cimabue down to the present day, who have passed to a better life, and having spoken with the opportunities that came to me of many still living, it now remains that I say something of the craftsmen of our Academy of Florence, of whom up to this point I have not had occasion to speak at sufficient length. And beginning with the oldest and most important, I shall speak first of Agnolo, called Bronzino, a Florentine painter truly most rare and worthy of all praise."
3,2,"Agnolo, then, having been many years with Pontormo, as has been told, caught his manner so well, and so imitated his works, that their pictures have been taken very often one for the other, so similar they were for a time. And certainly it is a marvel how Bronzino learned the manner of Pontormo so well, for the reason that Jacopo was rather strange and shy than otherwise even with his dearest disciples, being such that he would never let anyone see his works save when completely finished. But notwithstanding this, so great were the patience and lovingness of Agnolo towards Pontormo, that he was forced always to look kindly upon him, and to love him as a son. The first works of account that Bronzino executed, while still a young man, were in the Certosa of Florence, over a door that leads from the great cloister into the chapter-house, on two arches, one within and the other without. On that without is a Pietà, with two Angels, in fresco, and on that within is a nude S. Laurence upon the gridiron, painted in oil-colours on the wall; "
4,2," which works were a good earnest of the excellence that has been seen since in the works of this painter in his mature years. In the Chapel of Lodovico Capponi, in S. Felicita at Florence, Bronzino, as has been said in another place, painted two Evangelists in two round pictures in oils, and on the vaulting he executed some figures in colour. In the Abbey of the Black Friars at Florence, in the upper cloister, he painted in fresco a story from the life of S. Benedict, when he throws himself naked on the thorns, which is a very good picture. In the garden of the Sisters called the Poverine, he painted in fresco a most beautiful tabernacle, wherein is Christ appearing to the Magdalene in the form of a gardener. And in S. Trinita, likewise in Florence, may be seen a picture in oils by the same hand, on the first pilaster at the right hand, of the Dead Christ, Our Lady, S. John, and S. Mary Magdalene, executed with much diligence and in a beautiful manner. And during that time when he executed these works, he also painted many portraits of various persons, and other pictures, which gave him a great name."
4,3,"Then, the siege of Florence being ended and the settlement made, he went, as has been told elsewhere, to Pesaro, where under the protection of Guidobaldo, Duke of Urbino, besides the above-mentioned harpsichord-case full of figures, which was a rare thing, he executed the portrait of that lord and one of a daughter of Matteo Sofferoni, which was a truly beautiful picture and much extolled. He also executed at the Imperiale, a villa of the said Duke, some figures in oils on the spandrels of a vault; and more of these he would have done if he had not been recalled to Florence by his master, Jacopo Pontormo, that he might assist him to finish the Hall of Poggio a Caiano. And having arrived in Florence, he painted as it were by way of pastime, for Messer Giovanni de Statis, Auditor to Duke Alessandro, a little picture of Our Lady which was a much extolled work, and shortly afterwards, for Monsignor Giovio, his friend, the portrait of Andrea Doria; and for Bartolommeo Bettini, to fill certain lunettes in a chamber, the portraits of Dante, Petrarca, and Boccaccio, half-length figures of great beauty. Which pictures finished, he made portraits of Bonaccorso Pinadori, Ugolino Martelli, Messer Lorenzo Lenzi, now Bishop of Fermo, and Pier Antonio Bandini and "
5,3," his wife, with so many others, that it would be a long work to seek to make mention of them all; let it suffice that they were all very natural, executed with incredible diligence, and finished so well, that nothing more could be desired. For Bartolommeo Panciatichi he painted two large pictures of Our Lady, with other figures, beautiful to a marvel and executed with infinite diligence, and, besides these, portraits of him and his wife, so natural that they seem truly alive, and nothing is wanting in them save breath. For the same man he has painted a picture of Christ on the Cross, which is executed with much study and pains, insomuch that it is clearly evident that he copied it from a real dead body fixed on a cross, such is the supreme excellence and perfection of every part. For Matteo Strozzi he painted in fresco, in a tabernacle at his villa of S. Casciano, a Pietà with some Angels, which was a very beautiful work. For Filippo d' Averardo Salviati he executed a Nativity of Christ in a small picture with little figures, of such beauty that it has no equal, as everyone knows, that work being now in engraving; and for Maestro Francesco Montevarchi, a most excellent physicist, he painted a very beautiful picture of Our Lady and some other little pictures full of grace. And he assisted his master Pontormo, as was said above, to execute the work of Careggi, whereon the spandrels of the vaults he painted with his own hand five figures, Fortune, Fame, Peace, Justice, and Prudence, with some children, all wrought excellently well."
5,4,"Duke Alessandro being then dead and Cosimo elected, Bronzino assisted the same Pontormo in the work of the Loggia of Castello. For the nuptials of the most illustrious Lady, Leonora di Toledo, the wife of Duke Cosimo, he painted two scenes in chiaroscuro in the court of the Medici Palace, and on the base that supported the horse made by Tribolo, as was related, some stories of the actions of Signor Giovanni de' Medici, in imitation of bronze; all which were the best pictures that were executed in those festive preparations. Wherefore the Duke, having recognized the ability of this man, caused him to set his hand to adorning a chapel of no great size in the Ducal Palace for the said Lady Duchess, a woman of true worth, if ever any woman was, and for her infinite merits worthy of eternal praise. In that chapel Bronzino made on the vault some compartments "
6,4," with very beautiful children and four figures, each of which has the feet turned towards the walls—S. Francis, S. Jerome, S. Michelagnolo, and S. John; all executed with the greatest diligence and lovingness. And on the three walls, two of which are broken by the door and the window, he painted three stories of Moses, one on each wall. Where the door is, he painted the story of the snakes or serpents raining down upon the people, with many beautiful considerations in figures bitten by them, some of whom are dying, some are dead, and others, gazing on the Brazen Serpent, are being healed. On another wall, that of the window, is the Rain of Manna; and on the unbroken wall the Passing of the Red Sea, and the Submersion of Pharaoh; which scene has been printed in engraving at Antwerp. In a word, this work, executed as it is in fresco, has no equal, and is painted with the greatest possible diligence and study. In the altar-picture of this chapel, painted in oils, which was placed over the altar, was Christ taken down from the Cross, in the lap of His Mother; but it was removed from there by Duke Cosimo for sending as a present, as a very rare work, to Granvella, who was once the greatest man about the person of the Emperor Charles V. In place of that altar-piece the same master has painted another like it, which was set over the altar between two pictures not less beautiful than the altar-piece, in which pictures are the Angel Gabriel and the Virgin receiving from him the Annunciation; but instead of these, when the first altar-picture was removed, there were a S. John the Baptist and a S. Cosimo, which were placed in the guardaroba when the Lady Duchess, having changed her mind, caused the other two to be painted."
6,5,"The Lord Duke, having seen from these and other works the excellence of this painter, and that it was his particular and peculiar field to portray from life with the greatest diligence that could be imagined, caused him to paint a portrait of himself, at that time a young man, fully clad in bright armour, and with one hand upon his helmet; in another picture the Lady Duchess, his consort, and in yet another picture the Lord Don Francesco, their son and Prince of Florence. And no long time passed before he portrayed the same Lady Duchess once again, to do her pleasure, in a different manner from the first, with the Lord Don Giovanni, her son, "
7,5," beside her. He also made a portrait of La Bia, a young girl, the natural daughter of the Duke; and afterwards all the Duke's children, some for the first time and others for the second—the Lady Donna Maria, a very tall and truly beautiful girl, the Prince Don Francesco, the Lord Don Giovanni, Don Garzia, and Don Ernando, in a number of pictures which are all in the guardaroba of his Excellency, together with the portraits of Don Francesco di Toledo, Signora Maria, mother of the Duke, and Ercole II, Duke of Ferrara, with many others. About the same time, also, he executed in the Palace for the Carnival, two years in succession, two scenic settings and prospect-views for comedies, which were held to be very beautiful. And he painted a picture of singular beauty that was sent to King Francis in France, wherein was a nude Venus, with a Cupid who was kissing her, and Pleasure on one side with Play and other Loves, and on the other side Fraud and Jealousy and other passions of love. The Lord Duke had caused to be begun by Pontormo the cartoons of the tapestries in silk and gold for the Sala del Consiglio de' Dugento; and, having had two stories of the Hebrew Joseph executed by the said Pontormo, and one by Salviati, he gave orders that Bronzino should do the rest. Whereupon he executed fourteen pieces with the excellence and perfection which everyone knows who has seen them; but since this was an excessive labour for Bronzino, who was losing too much time thereby, he availed himself in the greater part of these cartoons, himself making the designs, of Raffaello dal Colle, the painter of Borgo a San Sepolcro, who acquitted himself excellently well."
7,6,"Now Giovanni Zanchini had built a chapel very rich in carved stone, with his family tombs in marble, opposite to the Chapel of the Dini in S. Croce at Florence, on the front wall, on the left hand as one enters the church by the central door; and he allotted the altar-piece to Bronzino, to the end that he might paint in it Christ descended into the Limbo of Hell in order to deliver the Holy Fathers. Agnolo, then, having set his hand to it, executed that work with the utmost possible diligence that one can use who desires to acquire glory by such a labour; wherefore there are in it most beautiful nudes, men, women, and children, young and old, with different features and attitudes, and portraits of men that are very "
