page,paragraph_id,text
3,1,"When Pietro Perugino, by that time an old man, was painting the altar-piece of the high-altar of the Servites at Florence, a nephew of Giuliano and Antonio da San Gallo, called Bastiano, was placed with him to learn the art of painting. But the boy had not been long with Perugino, when he saw the manner of Michelagnolo in the cartoon for the Hall, of which we have already spoken so many times, in the house of the Medici, and was so struck with admiration, that he would not return any more to Pietro's workshop, considering that his manner, beside that of Buonarroti, was dry, petty, and by no means worthy to be imitated. And since, among those who used to go to paint that cartoon, which was for a time the school of all who wished to attend to painting, the most able of all was held to be Ridolfo Ghirlandajo, Bastiano chose him as his companion, in order to learn colouring from him, and so they became fast friends. But not ceasing therefore to give his attention to that cartoon and to work at those nudes, Bastiano copied all together in a little cartoon the whole composition of that mass of figures, which not one of all those who had worked at it had ever drawn as a whole. And since he applied himself to it with all the earnestness that was in him, it proved that he was afterwards able on any occasion to render an account of the attitudes, muscles, and movements of those figures, and of the reasons that had caused Buonarroti to depict certain difficult postures; in doing which he would speak slowly and sententiously, with great gravity, so that a company of able craftsmen gave him the name of Aristotile, which, moreover, sat upon him all the better because it appeared that according to an ancient portrait of that supreme philosopher and confidant of Nature, Bastiano much resembled him."
4,2," But to return to the little cartoon drawn by Aristotile; he held it always so dear, that, after Buonarroti's original had perished, he would never let it go either at a price or on any other terms, or allow it to be copied; indeed, he would not show it, save only as a man shows precious things to his dearest friends, as a favour. Afterwards, in the year 1542, this drawing was copied in oils by Aristotile, at the persuasion of Giorgio Vasari, who was much his friend, in a picture in chiaroscuro, which was sent through Monsignor Giovio to King Francis of France, who held it very dear, and gave a handsome reward to San Gallo. This Vasari did in order that the memory of that work might be preserved, seeing that drawings perish very readily."
4,3,"In his youth, then, Aristotile delighted, as the others of his house have done, in the matters of architecture, and he therefore gave his attention to measuring the ground-plans of buildings and with great diligence to the study of perspective; in doing which he was much assisted by a brother of his, called Giovan Francesco, who was employed as architect in the building of S. Pietro, under Giuliano Leno, the proveditor. Giovan Francesco, having drawn Aristotile to Rome, employed him to keep the accounts in a great business that he had of furnaces for lime and works in pozzolana and tufa, which brought him very large profits; and in this way Bastiano lived for a time, without doing anything but draw in the Chapel of Michelagnolo, and resort, by means of M. Giannozzo Pandolfini, Bishop of Troia, to the house of Raffaello da Urbino. After a time, Raffaello having made for that Bishop the design of a palace which he wished to erect in the Via di S. Gallo at Florence, the above-named Giovan Francesco was sent to put it into execution, which he did with all the diligence wherewith it is possible for such a work to be carried out. But in the year 1530, Giovan Francesco being dead, and the siege of Florence in progress, that work, as we shall relate, was left unfinished. Its completion was afterwards entrusted to his brother Aristotile, who, as will be told, had returned to Florence many and many a year before, after having amassed a large sum of money under the above-named Giuliano Leno, in the business that his brother had left him in Rome; with a part of which money Aristotile bought, at the "
5,3," persuasion of Luigi Alamanni and Zanobi Buondelmonte, who were much his friends, a site for a house behind the Convent of the Servites, near Andrea del Sarto, where, with the intention of taking a wife and living at leisure, he afterwards built a very commodious little house."
5,4,"After returning to Florence, then, Aristotile, being much inclined to perspective, to which he had given his attention under Bramante in Rome, appeared to delight in scarcely any other thing; but nevertheless, besides executing a portrait or two from the life, he painted in oils, on two large canvases, the Eating of the Fruit by Adam and Eve and their Expulsion from Paradise, which he did after copies that he had made from the works painted by Michelagnolo on the vaulting of the Chapel in Rome. These two canvases of Aristotile's, because of his having taken them bodily from that place, were little extolled; but, on the other hand, he was well praised for all that he did in Florence for the entry of Pope Leo, making, in company with Francesco Granacci, a triumphal arch opposite to the door of the Badia, with many scenes, which was very beautiful. In like manner, at the nuptials of Duke Lorenzo de' Medici, he was of great assistance in all the festive preparations, and particularly in some prospect-views for comedies, to Franciabigio and Ridolfo Ghirlandajo, who had charge of everything."
5,5,"He afterwards executed many pictures of Our Lady in oils, partly from his own fancy, and partly copied from the works of others; and among them he painted one similar to that which Raffaello executed for S. Maria del Popolo in Rome, with the Madonna covering the Child with a veil, which now belongs to Filippo dell'Antella. And another is in the possession of the heirs of Messer Ottaviano de' Medici, together with the portrait of the above-named Lorenzo, which Aristotile copied from that which Raffaello had executed. Many other pictures he painted about the same time, which were sent to England. But, recognizing that he had no invention, and how much study and good grounding in design painting required, and that for lack of these qualities he would not be able to achieve any great excellence, Aristotile resolved that his profession should be architecture and perspective, executing scenery for comedies, to which he was much inclined, on every occasion that "
6,5," might present itself to him. And so, the above-mentioned Bishop of Troia having once more set his hand to his palace in the Via di S. Gallo, the charge of this was given to Aristotile, who in time carried it with much credit to himself to the condition in which it is now to be seen."
6,6,"Meanwhile Aristotile had formed a great friendship with Andrea del Sarto, his neighbour, from whom he learned to do many things to perfection, attending with much study to perspective; wherefore he was afterwards employed in many festivals that were held by certain companies of gentlemen who were living at Florence in those peaceful times. Thus, when the Mandragola, a most amusing comedy, was to be performed by the Company of the Cazzuola in the house of Bernardino di Giordano, on the Canto a Monteloro, Andrea del Sarto and Aristotile executed the scenery, which was very beautiful; and not long afterwards Aristotile executed the scenery for another comedy by the same author, in the house of the furnace-master Jacopo at the Porta S. Friano. From that kind of scenery and prospect-views, which much pleased the citizens in general, and in particular Signor Alessandro and Signor Ippolito de' Medici (who were in Florence at that time, under the care of Silvio Passerini, Cardinal of Cortona), Aristotile acquired so great a name, that it was ever afterwards his principal profession; indeed, so some will have it, his name of Aristotile was given him because he appeared in truth to be in perspective what Aristotle was in philosophy."
6,7,"But, as it often happens that from the height of peace and tranquillity one falls into wars and discords, with the year 1527 all peace and gladness in Florence were changed into sorrow and distress, for by that time the Medici had been driven out, and then came the plague and the siege, and for many years life was anything but gay; wherefore no good could be done then by craftsmen, and Aristotile lived in those days always in his own house, attending to his studies and fantasies. Afterwards, however, when Duke Alessandro had assumed the government of Florence, and matters were beginning to clear up a little, the young men of the Company of the Children of the Purification, which is opposite to S. Marco, arranged to perform a tragi-comedy taken from the Book of Kings, of the tribulations that ensued from the violation of Tamar, "
7,7," which had been composed by Giovan Maria Primerani. Thereupon the charge of the scenery and prospect-views was given to Aristotile, and he prepared the most beautiful scenery, considering the capacity of the place, that had ever been made. And since, besides the beauty of the setting, the tragi-comedy was beautiful in itself and well performed, and very pleasing to Duke Alessandro and his sister, who heard it, their Excellencies caused the author, who was in prison, to be liberated, on the condition that he should write another comedy, but after his own fancy. Which having been done by him, Aristotile made in the loggia of the garden of the Medici, on the Piazza di S. Marco, a very beautiful scene and prospect-view, full of colonnades, niches, tabernacles, statues, and many other fanciful things that had not been used up to that time in festive settings of that kind; which all gave infinite satisfaction, and greatly enriched that sort of painting. The subject of the piece was Joseph falsely accused of having sought to violate his mistress, and therefore imprisoned, and then liberated after his interpretation of the King's dream."
