page,paragraph_id,text
1,,
2,,
3,,
3,1,"If Pope Eugenius IV, when he resolved to make the bronze door for S. Pietro in Rome, had used diligence in seeking for men of excellence to execute that work (and he would easily have been able to find them at that time, when Filippo di Ser Brunellesco, Donatello, and other rare craftsmen were alive), it would not have been carried out in the deplorable manner which it reveals to us in our own day. But perchance the same thing happened to him that is very often wont to happen to the greater number of Princes, who either have no understanding of such works or take very little delight in them. Now, if they were to consider how important it is to show preference to men of excellence in public works, by reason of the fame that comes from these, it is certain that neither they nor their ministers would be so negligent; for the reason that he who encumbers himself with poor and inept craftsmen ensures but a short life to his works or his fame, not to mention that injury is done to the public interest and to the age in which he was born, for it is firmly believed by all who come after, that, if there had been better masters to be found in that age, the Prince would have availed himself rather of them than of the inept and vulgar."
3,2,"Now, after being created Pontiff in the year 1431, Pope Eugenius IV, hearing that the Florentines were having the doors of S. Giovanni made by Lorenzo Ghiberti, conceived a wish to try to make one of the doors of S. Pietro in like manner in bronze. But since he had no knowledge of such works, he entrusted the matter to his ministers, with whom Antonio Filarete, then a youth, and Simone, the brother of Donatello, both sculptors of Florence, had so much interest, that the work was allotted to"
4,2," them. Putting their hands to this, therefore, they toiled for twelve years to complete it; and although Pope Eugenius fled from Rome and was much harassed by reason of the Councils, yet those who had charge of S. Pietro contrived to prevent that work from being abandoned. Filarete, then, wrought that door in low-relief, making a simple division, with two upright figures in each part—namely, the Saviour and the Madonna above, and S. Peter and S. Paul below; and at the foot of S. Peter is that Pope on his knees, portrayed from life. Beneath each figure, likewise, there is a little scene from the life of the Saint that is above; below S. Peter, his crucifixion, and below S. Paul, his beheading; and beneath the Saviour and the Madonna, also, some events from their lives. At the foot of the inner side of the said door, to amuse himself, Antonio made a little scene in bronze, wherein he portrayed himself and Simone and their disciples going with an ass laden with good cheer to take their pleasure in a vineyard. But since they were not always at work on the said door during the whole of those twelve years, they also made in S. Pietro some marble tombs for Popes and Cardinals, which were thrown to the ground in the building of the new church."
4,3,"After these works, Antonio was summoned to Milan by Duke Francesco Sforza, then Gonfalonier of Holy Church (who had seen his works in Rome), to the end that there might be made with his design, as it afterwards was, the Albergo de' poveri di Dio,[1] which is a hospital that serves for sick men and women, and for the innocent children born out of wedlock. The division for the men in this place is in the form of a cross, and extends 160 braccia in all directions; and that of the women is the same. The width is 16 braccia, and within the four square sides that enclose the crosses of each of these two divisions there are four courtyards surrounded by porticoes, loggie, and rooms for the use of the director, the officials, the servants, and the nurses of the hospital, all very commodious and useful. On one side there is a channel with water continually running for the service of the hospital and for grinding corn, with no small benefit and convenience for that place, as all may imagine. Between the two divisions of the hospital there is a cloister, 80 braccia"
5,3," in extent in one direction and 160 in the other, in the middle of which is the church, so contrived as to serve for both divisions. In a word, this place is so well built and designed, that I do not believe that there is its like in Europe. According to the account of Filarete himself, the first stone of this building was laid with a solemn procession of the whole of the clergy of Milan, in the presence of Duke Francesco Sforza, the Lady Bianca Maria, and all their children, with the Marquis of Mantua, the Ambassador of King Alfonso of Arragon, and many other lords. On the first stone which was laid in the foundations, as well as on the medals, were these words:"
5,4," FRANCISCUS SFORTIA DUX IV, QUI AMISSUM PER PRÆCESSORUM OBITUM URBIS IMPERIUM RECUPERAVIT, HOC MUNUS CHRISTI PAUPERIBUS DEDIT FUNDAVITQUE MCCCCLVII, DIE XII APRIL. "
5,5,"These scenes were afterwards depicted on the portico by Maestro Vincenzio di Zoppa, a Lombard, since no better master could be found in those parts."
